player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Mandeep Singh,batsman,111,98,,1706,1388,,,20.80,122.91
Rahmanullah Gurbaz †,batsman,14,13,,289,216,,,22.23,133.79
Anukul Roy,batsman,11,6,,26,24,,,8.66,108.33
Venkatesh Iyer,batsman,51,49,,1326,967,,,31.57,137.12
Nitish Rana (c),batsman,107,101,,2636,1952,,,28.65,135.04
Rinku Singh,batsman,46,40,,893,623,,,30.79,143.33
Andre Russell,batsman,127,105,,2484,1420,,,29.22,174.92
Shardul Thakur,batsman,95,37,,307,221,,,12.28,138.91
Sunil Narine,batsman,177,110,,1534,925,,,17.04,165.83
"Tim Southee,",batsman,54,20,,120,107,,,9.23,112.14
Umesh Yadav,batsman,148,52,,208,201,,,9.90,103.48
