player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Yashasvi Jaiswal,batsman,53,52,,1607,1067,,,32.14,150.60
Jos Buttler,batsman,107,106,,3582,2428,,,38.10,147.52
Devdutt Padikkal,batsman,64,64,,1559,1266,,,25.14,123.14
Sanju Samson (c)†,batsman,168,163,,4419,3180,,,30.68,138.96
Shimron Hetmyer,batsman,72,66,,1243,812,,,31.07,153.07
Riyan Parag,batsman,70,58,,1173,868,,,24.43,135.13
Dhruv Jurel,batsman,28,22,,347,229,,,23.13,151.52
Trent Boult,batsman,104,27,,83,78,,,10.37,106.41
"Adam Zampa,",batsman,20,5,,15,24,,,3.00,62.50
"Navdeep Saini,",batsman,32,7,,33,37,,,8.25,89.18
Sandeep Sharma,batsman,127,27,,54,70,,,9.00,77.14
