player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Kyle Mayers,batsman,13,13,,379,263,,,29.15,144.10
KL Rahul (c),batsman,132,123,,4683,3479,,,45.46,134.60
Deepak Hooda,batsman,118,96,,1465,1131,,,18.31,129.53
Krunal Pandya,batsman,127,111,,1647,1240,,,22.56,132.82
Marcus Stoinis,batsman,96,88,,1866,1314,,,28.27,142.00
Romario Shepherd,batsman,10,9,,115,63,,,23.00,182.53
Nicholas Pooran †,batsman,76,73,,1769,1090,,,32.16,162.29
"Yash Thakur,",batsman,19,-,,-,-,,,-,-
"Jaydev Unadkat,",batsman,105,32,,197,166,,,12.31,118.67
"Ravi Bishnoi,",batsman,66,15,,32,50,,,4.00,64.00
Ayush Badoni,batsman,42,35,,634,473,,,24.38,134.03
