Player,Span,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s
Umar Gul,2008-2008,6,4,1,39,24,13.00,19,205.26,0,0,0,1
DE Bollinger,2010-2012,41,5,3,38,17,19.00,34,111.76,0,0,0,4
JM Kemp,2010-2010,7,4,1,38,22,12.66,32,118.75,0,0,1,1
DR Sams,2020-2022,14,11,3,38,15,4.75,38,100.00,0,0,3,1
PJ Sangwan,2008-2022,46,17,8,38,11,4.22,58,65.51,0,0,4,2
Iqbal Abdulla,2008-2014,42,10,10,37,12,0,35,105.71,0,0,0,2
S Narwal,2010-2013,7,4,1,37,23,12.33,27,137.03,0,0,1,6
Vishnu Vinod,2023-2023,3,3,0,37,30,12.33,31,119.35,0,0,0,2
L Balaji,2008-2014,85,15,7,36,15,4.50,49,73.46,0,0,5,2
Joginder Sharma,2008-2011,16,6,2,36,16,9.00,30,120.00,0,0,2,1
Sohail Tanvir,2008-2009,12,5,2,36,13,12.00,29,124.13,0,0,0,3
RE van der Merwe,2011-2013,10,6,4,36,14,18.00,41,87.80,0,0,0,3
KW Richardson,2013-2014,10,3,0,35,26,11.66,38,92.10,0,0,0,2
B Sumanth,2010-2010,5,4,3,35,16,35.00,37,94.59,0,0,0,3
M Ashwin,2016-2023,42,12,4,34,9,4.25,48,70.83,0,0,2,2
AP Dole,2010-2010,3,2,0,34,30,17.00,22,154.54,0,0,0,3
L Ronchi,2008-2009,5,5,0,34,13,6.80,34,100.00,0,0,1,6
Imran Tahir,2014-2021,59,9,5,33,13,8.25,37,89.18,0,0,0,5
D Salunkhe,2008-2008,6,3,1,33,26,16.50,24,137.50,0,0,0,5
S Sreesanth,2008-2013,35,11,9,33,15,16.50,46,71.73,0,0,2,6
Basil Thampi,2017-2022,25,8,7,32,13,32.00,35,91.42,0,0,0,1
AT Carey,2020-2020,3,3,1,32,14,16.00,29,110.34,0,0,0,0
RJ Peterson,2012-2012,5,5,2,32,16,10.66,30,106.66,0,0,1,3
Ravi Bishnoi,2020-2025,67,16,7,32,6,3.55,52,61.53,0,0,2,2
NS Naik,2016-2020,4,4,0,31,22,7.75,50,62.00,0,0,0,2
T Taibu,2008-2008,3,3,0,31,15,10.33,26,119.23,0,0,0,3
AD Nath,2016-2018,6,5,0,29,12,5.80,41,70.73,0,0,1,2
Arshdeep Singh,2019-2025,66,12,7,29,10,5.80,40,72.50,0,0,3,4
Karanveer Singh,2014-2015,14,5,4,29,17,29.00,42,69.04,0,0,0,2
SB Jakati,2009-2017,63,9,8,28,13,28.00,29,96.55,0,0,0,3
AS Joseph,2019-2023,19,7,6,27,15,27.00,32,84.37,0,0,1,3
NL McCullum,2011-2011,2,2,1,26,15,26.00,22,118.18,0,0,0,0
DJ Malan,2021-2021,1,1,0,26,26,26.00,26,100.00,0,0,0,1
AS Rajpoot,2013-2020,29,7,2,26,8,5.20,41,63.41,0,0,0,2
AS Roy,2019-2024,11,6,3,26,13,8.66,24,108.33,0,0,2,3
TL Seifert,2021-2022,3,3,0,26,21,8.66,23,113.04,0,0,0,4
MD Shanaka,2023-2023,3,3,1,26,17,13.00,26,100.00,0,0,1,2
Mohsin Khan,2022-2024,24,5,2,25,13,8.33,24,104.16,0,0,1,2
Sanvir Singh,2023-2024,6,5,3,25,8,12.50,21,119.04,0,0,1,2
CV Varun,2019-2025,72,12,8,25,10,6.25,46,54.34,0,0,1,2
AN Ahmed,2010-2013,17,4,4,24,18,0,24,100.00,0,0,0,1
KC Cariappa,2015-2019,11,5,2,24,12,8.00,21,114.28,0,0,0,0
ER Dwivedi,2016-2016,4,2,0,24,19,12.00,14,171.42,0,0,0,2
MA Khote,2008-2008,4,3,1,24,9,12.00,22,109.09,0,0,0,2
TK Kotian,2024-2024,1,1,0,24,24,24.00,31,77.41,0,0,0,3
AJ Turner,2019-2024,6,6,1,24,16,4.80,28,85.71,0,0,3,0
P Dubey,2020-2023,4,2,1,23,16,23.00,33,69.69,0,0,0,2
KMDN Kulasekara,2011-2012,7,2,1,23,18,23.00,15,153.33,0,0,0,2
BMAJ Mendis,2013-2013,3,3,0,23,12,7.66,27,85.18,0,0,1,0
SW Tait,2010-2013,21,5,2,23,11,7.66,26,88.46,0,0,1,1
Umran Malik,2021-2024,26,6,4,23,19,11.50,16,143.75,0,0,2,1
R Vinay Kumar,2014-2018,28,10,6,23,12,5.75,23,100.00,0,0,2,1
AB Dinda,2008-2017,67,14,5,22,7,2.44,36,61.11,0,0,5,2
GB Hogg,2012-2016,21,6,3,22,13,7.33,22,100.00,0,0,0,1
KL Nagarkoti,2020-2022,12,7,3,22,8,5.50,33,66.66,0,0,2,1
MDKJ Perera,2013-2013,3,3,0,22,14,7.33,17,129.41,0,0,1,5
AU Rashid,2021-2023,3,2,0,22,18,11.00,16,137.50,0,0,0,2
HE van der Dussen,2022-2022,3,3,1,22,12,11.00,24,91.66,0,0,0,2
Yudhvir Singh,2023-2024,5,4,0,22,14,5.50,16,137.50,0,0,1,1
TU Deshpande,2020-2025,37,4,3,21,20,21.00,14,150.00,0,0,0,2
B Indrajith,2022-2022,3,3,0,21,15,7.00,30,70.00,0,0,1,2
D Wiese,2023-2023,3,3,2,21,12,21.00,11,190.90,0,0,0,0
S Kaul,2013-2021,54,12,8,20,7,5.00,36,55.55,0,0,2,1
RR Raje,2008-2009,10,5,4,20,11,20.00,18,111.11,0,0,0,1
C Sakariya,2021-2023,19,8,2,20,7,3.33,31,64.51,0,0,1,3
R Shukla,2012-2014,11,6,4,20,14,10.00,25,80.00,0,0,1,2
AC Thomas,2011-2012,15,4,2,20,12,10.00,19,105.26,0,0,0,1
NT Ellis,2021-2025,17,5,1,19,12,4.75,25,76.00,0,0,2,0
Gulbadin Naib,2024-2024,2,1,0,19,19,19.00,15,126.66,0,0,0,1
DR Martyn,2010-2010,1,1,0,19,19,19.00,24,79.16,0,0,0,1
P Sahu,2016-2016,5,2,1,19,18,19.00,13,146.15,0,0,0,1
T Banton,2020-2020,2,2,0,18,10,9.00,20,90.00,0,0,0,1
Harmeet Singh,2009-2013,28,7,3,18,14,4.50,12,150.00,0,0,2,3
DS Lehmann,2008-2008,2,2,0,18,17,9.00,18,100.00,0,0,0,3
Naveen-ul-Haq,2023-2024,18,6,5,18,13,18.00,25,72.00,0,0,0,2
PP Ojha,2008-2015,106,27,14,18,3,1.38,47,38.29,0,0,6,0
KMA Paul,2019-2019,8,6,1,18,7,3.60,24,75.00,0,0,2,1
S Rana,2011-2011,2,1,0,18,18,18.00,16,112.50,0,0,0,2
Sumit Kumar,2024-2024,4,3,1,18,9,9.00,24,75.00,0,0,0,2
PV Tambe,2013-2016,38,7,5,18,7,9.00,39,46.15,0,0,0,1
VY Mahesh,2008-2012,19,6,3,17,6,5.66,29,58.62,0,0,0,0
JA Richardson,2021-2024,4,3,0,17,15,5.66,26,65.38,0,0,1,2
YV Dhull,2023-2023,4,3,0,16,13,5.33,23,69.56,0,0,0,1
AJ Hosein,2023-2023,1,1,1,16,16,0,10,160.00,0,0,0,1
CK Kapugedera,2008-2008,5,3,0,16,8,5.33,23,69.56,0,0,1,0
AF Milne,2021-2022,5,3,1,16,15,8.00,17,94.11,0,0,1,0
KS Sharma,2022-2023,3,3,0,16,9,5.33,25,64.00,0,0,0,1
SD Lad,2019-2019,1,1,0,15,15,15.00,13,115.38,0,0,0,1
C Madan,2010-2010,1,1,0,15,15,15.00,19,78.94,0,0,0,3
GR Napier,2009-2009,1,1,0,15,15,15.00,16,93.75,0,0,0,1
JL Pattinson,2020-2020,10,2,1,15,11,15.00,13,115.38,0,0,0,2
Virat Singh,2021-2021,3,2,0,15,11,7.50,26,57.69,0,0,0,1
A Zampa,2016-2025,18,5,0,15,7,3.00,24,62.50,0,0,1,1
FA Allen,2021-2022,5,4,2,14,8,7.00,19,73.68,0,0,0,1
F Behardien,2016-2016,3,3,1,14,9,7.00,13,107.69,0,0,1,2
G Coetzee,2024-2024,10,5,1,14,8,3.50,22,63.63,0,0,1,0
Swapnil Singh,2016-2023,7,4,1,14,10,4.66,24,58.33,0,0,1,0
KJ Abbott,2016-2016,5,3,2,13,12,13.00,8,162.50,0,0,1,0
Kartik Tyagi,2020-2024,20,7,3,13,7,3.25,16,81.25,0,0,1,1
Mustafizur Rahman,2016-2024,57,9,8,13,8,13.00,23,56.52,0,0,0,0
Noor Ahmad,2023-2025,24,7,3,13,7,3.25,18,72.22,0,0,1,2
RD Rickelton,2025-2025,1,1,0,13,13,13.00,7,185.71,0,0,0,3
R Sai Kishore,2022-2025,11,2,1,13,13,13.00,6,216.66,0,0,0,0
DR Shorey,2018-2019,2,2,0,13,8,6.50,17,76.47,0,0,0,0
AS Tendulkar,2023-2024,5,1,0,13,13,13.00,9,144.44,0,0,0,0
AR Bawne,2017-2017,1,1,1,12,12,0,12,100.00,0,0,0,1
DAJ Bracewell,2012-2012,1,1,1,12,12,0,9,133.33,0,0,0,1
AA Chavan,2011-2013,13,3,1,12,7,6.00,11,109.09,0,0,0,2
FH Edwards,2009-2009,8,4,2,12,8,6.00,13,92.30,0,0,1,1
Mujeeb Ur Rahman,2018-2021,19,7,4,12,10,4.00,15,80.00,0,0,2,2
DG Nalkande,2022-2024,6,2,0,12,12,6.00,12,100.00,0,0,1,0
T Thushara,2009-2010,6,4,2,12,8,6.00,18,66.66,0,0,0,0
K Upadhyay,2012-2013,3,2,2,12,11,0,9,133.33,0,0,0,0
MA Wood,2018-2023,5,3,1,12,10,6.00,8,150.00,0,0,0,1
RA Bawa,2022-2022,2,2,0,11,11,5.50,14,78.57,0,0,1,1
T Henderson,2009-2009,2,2,0,11,11,5.50,16,68.75,0,0,1,0
WG Jacks,2025-2025,1,1,0,11,11,11.00,7,157.14,0,0,0,2
T Kohli,2008-2009,4,4,1,11,7,3.66,19,57.89,0,0,0,0
M Ntini,2008-2008,9,2,1,11,11,11.00,18,61.11,0,0,0,2
MA Starc,2024-2025,15,6,3,11,6,3.66,16,68.75,0,0,2,1
DNT Zoysa,2008-2008,3,2,1,11,10,11.00,9,122.22,0,0,0,1
RK Bhui,2018-2024,4,4,0,10,7,2.50,26,38.46,0,0,2,0
Mukesh Kumar,2023-2025,21,5,4,10,6,10.00,18,55.55,0,0,0,0
AG Murtaza,2010-2013,15,3,2,10,5,10.00,14,71.42,0,0,0,1
TD Paine,2011-2011,2,2,0,10,8,5.00,26,38.46,0,0,0,0
KAJ Roach,2010-2010,2,1,0,10,10,10.00,9,111.11,0,0,0,1
JE Root,2023-2023,3,1,0,10,10,10.00,15,66.66,0,0,0,1
Jalaj S Saxena,2014-2021,4,2,0,10,10,5.00,9,111.11,0,0,1,0
SMSM Senanayake,2013-2013,8,4,3,10,7,10.00,17,58.82,0,0,0,0
BB Sran,2015-2019,24,9,8,10,3,10.00,14,71.42,0,0,0,0
X Thalaivan Sargunam,2013-2013,1,1,0,10,10,10.00,17,58.82,0,0,0,0
J Theron,2010-2015,10,4,2,10,7,5.00,12,83.33,0,0,1,1
VR Aaron,2011-2022,28,8,4,9,4,2.25,35,25.71,0,0,1,0
VG Arora,2022-2025,21,8,6,9,2,4.50,16,56.25,0,0,1,0
YS Chahal,2011-2025,54,4,2,9,5,4.50,13,69.23,0,0,0,0
SM Harwood,2009-2009,3,2,2,9,6,0,14,64.28,0,0,0,0
K Kartikeya,2022-2023,12,2,0,9,6,4.50,12,75.00,0,0,0,1
AA Kulkarni,2024-2024,2,2,0,9,9,4.50,8,112.50,0,0,1,2
M Muralidaran,2008-2010,46,6,2,9,4,2.25,13,69.23,0,0,1,1
M Prasidh Krishna,2018-2025,52,10,7,9,4,3.00,24,37.50,0,0,2,0
L Wood,2024-2024,2,1,1,9,9,0,3,300.00,0,0,0,0
KS Bharat,2022-2022,2,2,0,8,8,4.00,7,114.28,0,0,1,2
P Chopra,2018-2019,2,1,0,8,8,8.00,6,133.33,0,0,0,2
D Ferreira,2024-2024,2,2,0,8,7,4.00,11,72.72,0,0,0,0
Jaskaran Singh,2009-2010,8,5,4,8,4,8.00,11,72.72,0,0,0,0
OC McCoy,2022-2023,8,1,0,8,8,8.00,5,160.00,0,0,0,0
CJ McKay,2012-2012,2,1,0,8,8,8.00,15,53.33,0,0,0,0
JPR Scantlebury-Searles,2018-2018,4,2,1,8,6,8.00,6,133.33,0,0,0,0
TM Srivastava,2008-2009,7,3,2,8,7,8.00,11,72.72,0,0,0,0
SA Abbott,2022-2022,1,1,0,7,7,7.00,5,140.00,0,0,0,0
Ankit Soni,2017-2017,7,3,1,7,7,3.50,9,77.77,0,0,2,0
UA Birla,2013-2013,2,1,0,7,7,7.00,14,50.00,0,0,0,1
AN Ghosh,2009-2009,2,2,0,7,7,3.50,8,87.50,0,0,1,1
Harshit Rana,2022-2025,22,4,1,7,5,2.33,9,77.77,0,0,1,1
BW Hilfenhaus,2012-2014,21,3,3,7,7,0,6,116.66,0,0,0,0
SH Johnson,2024-2025,6,4,4,7,5,0,8,87.50,0,0,0,1
I Malhotra,2011-2011,1,1,1,7,7,0,4,175.00,0,0,0,1
VS Malik,2009-2014,16,2,1,7,6,7.00,7,100.00,0,0,0,1
Parvez Rasool,2013-2015,7,4,3,7,4,7.00,11,63.63,0,0,0,0
Simarjeet Singh,2022-2025,11,3,2,7,3,7.00,8,87.50,0,0,0,0
IS Sodhi,2018-2019,8,2,0,7,6,3.50,17,41.17,0,0,0,0
M Theekshana,2022-2025,28,2,1,7,7,7.00,7,100.00,0,0,1,0
AU Verma,2025-2025,1,1,0,7,7,7.00,3,233.33,0,0,0,0
V Viyaskanth,2024-2024,3,1,1,7,7,0,5,140.00,0,0,0,0
JP Behrendorff,2019-2023,17,2,2,6,3,0,9,66.66,0,0,0,0
BA Bhatt,2011-2013,17,2,1,6,6,6.00,7,85.71,0,0,1,0
MV Boucher,2011-2011,4,3,2,6,5,6.00,6,100.00,0,0,0,0
DM Bravo,2017-2017,1,1,1,6,6,0,5,120.00,0,0,0,1
PSP Handscomb,2016-2016,2,1,0,6,6,6.00,12,50.00,0,0,0,0
Mukesh Choudhary,2022-2024,14,2,1,6,4,6.00,6,100.00,0,0,0,1
SS Shaikh,2009-2009,2,1,0,6,6,6.00,7,85.71,0,0,0,1
P Awana,2012-2014,38,8,5,5,4,1.66,16,31.25,0,0,3,0
B Laughlin,2013-2018,9,4,2,5,4,2.50,13,38.46,0,0,2,0
Pankaj Singh,2008-2012,12,2,2,5,4,0,8,62.50,0,0,0,0
Shivam Sharma,2014-2015,5,2,1,5,4,5.00,3,166.66,0,0,0,1
SJ Srivastava,2010-2011,14,4,3,5,3,5.00,5,100.00,0,0,1,0
B Stanlake,2018-2018,4,1,1,5,5,0,2,250.00,0,0,0,1
A Chandila,2012-2013,12,2,2,4,4,0,7,57.14,0,0,0,0
A Dananjaya,2018-2018,1,1,1,4,4,0,5,80.00,0,0,0,0
CRD Fernando,2008-2010,10,2,2,4,2,0,3,133.33,0,0,0,0
RV Gomez,2013-2013,2,1,1,4,4,0,1,400.00,0,0,0,1
Litton Das,2023-2023,1,1,0,4,4,4.00,4,100.00,0,0,0,1
GD McGrath,2008-2009,16,3,2,4,4,4.00,5,80.00,0,0,1,1
A Madhwal,2023-2024,13,1,1,4,4,0,5,80.00,0,0,0,0
DP Nannes,2009-2013,31,3,2,4,3,4.00,13,30.76,0,0,0,0
VRV Singh,2008-2010,19,2,0,4,4,2.00,3,133.33,0,0,1,1
RS Sodhi,2010-2010,3,1,1,4,4,0,2,200.00,0,0,0,1
S Sriram,2011-2011,1,1,0,4,4,4.00,7,57.14,0,0,0,0
A Tomar,2022-2022,1,1,0,4,4,4.00,8,50.00,0,0,0,1
A Uniyal,2010-2010,2,2,1,4,4,4.00,7,57.14,0,0,1,0
KB Arun Karthik,2010-2010,1,1,1,3,3,0,5,60.00,0,0,0,0
Fazalhaq Farooqi,2022-2025,8,2,2,3,2,0,13,23.07,0,0,0,0
D Kalyankrishna,2008-2008,3,1,0,3,3,3.00,8,37.50,0,0,0,0
Kamran Khan,2009-2011,9,2,1,3,3,3.00,5,60.00,0,0,0,0
K Kushagra,2024-2024,4,3,0,3,2,1.00,7,42.85,0,0,1,0
BAW Mendis,2008-2013,10,3,1,3,2,1.50,6,50.00,0,0,1,0
R Minz,2025-2025,1,1,0,3,3,3.00,9,33.33,0,0,0,0
Mohammad Asif,2008-2008,8,2,0,3,3,1.50,6,50.00,0,0,1,0
T Natarajan,2017-2024,61,4,4,3,3,0,5,60.00,0,0,0,0
Sachin Baby,2013-2013,4,1,0,3,3,3.00,7,42.85,0,0,0,0
JE Taylor,2011-2011,5,2,1,3,2,3.00,3,100.00,0,0,0,0
S Tyagi,2009-2010,14,3,2,3,3,3.00,4,75.00,0,0,1,0
GC Viljoen,2019-2019,6,3,1,3,2,1.50,7,42.85,0,0,1,0
Younis Khan,2008-2008,1,1,0,3,3,3.00,7,42.85,0,0,0,0
H Das,2008-2008,1,1,0,2,2,2.00,5,40.00,0,0,0,0
RS Gavaskar,2010-2010,2,1,0,2,2,2.00,8,25.00,0,0,0,0
RJ Gleeson,2024-2024,2,1,1,2,2,0,2,100.00,0,0,0,0
S Randiv,2011-2011,8,1,0,2,2,2.00,4,50.00,0,0,0,0
A Kamboj,2024-2024,3,1,1,2,2,0,2,100.00,0,0,0,0
Mashrafe Mortaza,2009-2009,1,1,1,2,2,0,2,100.00,0,0,0,0
Mohammad Ashraful,2009-2009,1,1,0,2,2,2.00,10,20.00,0,0,0,0
RG More,2015-2015,2,1,1,2,2,0,2,100.00,0,0,0,0
NA Saini,2022-2023,4,1,0,2,2,2.00,2,100.00,0,0,0,0
T Shamsi,2021-2021,1,1,1,2,2,0,4,50.00,0,0,0,0
BR Sharath,2024-2024,1,1,0,2,2,2.00,5,40.00,0,0,0,0
Shivam Singh,2024-2024,1,1,1,2,2,0,3,66.66,0,0,0,0
Shoaib Akhtar,2008-2008,3,1,0,2,2,2.00,7,28.57,0,0,0,0
A Singh,2009-2012,24,5,1,2,1,0.50,10,20.00,0,0,3,0
SB Wagh,2010-2011,8,2,0,2,2,1.00,3,66.66,0,0,1,0
VS Yeligati,2008-2008,2,1,0,2,2,2.00,2,100.00,0,0,0,0
Abdul Basith,2023-2023,1,1,1,1,1,0,1,100.00,0,0,0,0
Abhinav Kumar,2009-2009,1,1,0,1,1,1.00,3,33.33,0,0,0,0
KK Ahmed,2018-2025,58,5,0,1,1,0.20,7,14.28,0,0,4,0
SE Bond,2010-2010,8,1,0,1,1,1.00,2,50.00,0,0,0,0
M de Lange,2012-2015,5,1,0,1,1,1.00,2,50.00,0,0,0,0
HF Gurney,2019-2019,8,1,1,1,1,0,5,20.00,0,0,0,0
BE Hendricks,2014-2015,7,3,2,1,1,1.00,3,33.33,0,0,1,0
JL Langer,2009-2009,1,1,0,1,1,1.00,2,50.00,0,0,0,0
KA Maharaj,2024-2024,2,1,0,1,1,1.00,2,50.00,0,0,0,0
Mohit Rathee,2023-2023,1,1,1,1,1,0,2,50.00,0,0,0,0
SZ Mulani,2024-2024,2,1,1,1,1,0,1,100.00,0,0,0,0
DJ Muthuswami,2015-2015,6,2,1,1,1,1.00,3,33.33,0,0,0,0
LE Plunkett,2018-2018,7,2,1,1,1,1.00,3,33.33,0,0,1,0
PVSN Raju,2025-2025,1,1,1,1,1,0,1,100.00,0,0,0,0
NJ Rimmington,2011-2011,1,1,1,1,1,0,1,100.00,0,0,0,0
PM Sarvesh Kumar,2008-2008,2,1,1,1,1,0,2,50.00,0,0,0,0
Shoaib Ahmed,2009-2009,8,3,1,1,1,0.50,6,16.66,0,0,2,0
MJ Suthar,2024-2024,1,1,0,1,1,1.00,2,50.00,0,0,0,0
DP Vijaykumar,2008-2008,9,2,2,1,1,0,1,100.00,0,0,0,0
LB Williams,2024-2024,2,1,1,1,1,0,2,50.00,0,0,0,0
S Ladda,2010-2016,9,2,1,0,0,0.00,9,0.00,0,0,1,0
YA Abdulla,2009-2010,11,1,1,0,0,0,1,0.00,0,0,0,0
L Ablish,2010-2011,3,1,1,0,0,0,2,0.00,0,0,0,0
Anuj Rawat,2021-2021,2,1,0,0,0,0.00,1,0.00,0,0,1,0
KM Asif,2018-2023,7,1,0,0,0,0.00,2,0.00,0,0,1,0
