Original Name,Standardized Name
Anrich Nortje,Anrich Nortje
Navdeep Saini,Navdeep Saini
Vaibhav Arora,Vaibhav Arora
Aiden Markram,Aiden Markram (c)
Akash Madhwal,Akash Madhwal
Yudhvir Singh,Yudhvir Singh
Piyush Chawla,Piyush Chawla
Suyash Sharma,Suyash Sharma
Harpreet Brar,Harpreet Brar
Sarfaraz Khan,Sarfaraz Khan 
A Raghuvanshi,A Raghuvanshi
Cameron Green,Cameron Green
Shamar Joseph,Shamar Joseph
Rovman Powell,Rovman Powell
Gulbadin Naib,Gulbadin Naib
Manish Pandey,Manish Pandey
Nandre Burger,Nandre Burger
Wayne Parnell,Wayne Parnell
Rasikh Salam,Rasikh Salam
Mukesh Kumar,Mukesh Kumar
Jayant Yadav,Jayant Yadav
Nitish Kumar,Nitish Kumar Reddy
Anuj Rawat ,Anuj Rawat 
Jason Holder,Jason Holder
Vishnu Vinod,Vishnu Vinod 
Shivam Singh,Shivam Singh
Rohit Sharma,Rohit Sharma (c)
Nonchalantly,Nonchalantly
David Willey,David Willey
Chris Jordan,Chris Jordan
Jofra Archer,Jofra Archer
Shams Mulani,Shams Mulani
Kedar Jadhav,Kedar Jadhav
Mayank Dagar,Mayank Dagar
Sanvir Singh,Sanvir Singh
Akeal Hosein,Akeal Hosein
Sunil Narine,Sunil Narine
Kuldip Yadav,Kuldeep Yadav
Marco Jansen,Marco Jansen
David Warner,David Warner (c)
Prithvi Shaw,Prithvi Shaw
Harshit Rana,Harshit Rana
Sameer Rizvi,Sameer Rizvi
Ravi Bishnoi,Ravi Bishnoi
Kartik Tyagi,Kartik Tyagi
Devon Conway,Devon Conway
Reece Topley,Reece Topley
Shreyas Iyer,Shreyas Iyer (c)
Abdul Basith,Abdul Basith
Jos Buttler,Jos Buttler
Pat Cummins,Pat Cummins (c)
Dhruv Jurel,Dhruv Jurel
Prabhsimran,Prabhsimran
Tim Southee,Tim Southee
Umran Malik,Umran Malik
Abdul Samad,Abdul Samad
Kuldeep Sen,Kuldeep Sen
Karn Sharma,Karn Sharma
Umesh Yadav,Umesh Yadav
Rinku Singh,Rinku Singh
Adil Rashid,Adil Rashid
Nitish Rana,Nitish Rana (c)
Rashid Khan,Rashid Khan
Trent Boult,Trent Boult
Tilak Varma,Tilak Varma
Riyan Parag,Riyan Parag
Shivam Dube,Shivam Dube
Harry Brook,Harry Brook
Ripal Patel,Ripal Patel
Mohsin Khan,Mohsin Khan
David Wiese,David Wiese
Livingstone,Livingstone
Akash Singh,Akash Singh
Behrendorff,Jason Behrendorff
Arshad Khan,Arshad Khan
Travis Head,Travis Head
Lalit Yadav,Lalit Yadav
Priyam Garg,Priyam Garg
Bhuvneshwar,Bhuvneshwar Kumar (c)
Sumit Kumar,Sumit Kumar
T Natarajan,T Natarajan
Sai Kishore,Sai Kishore
Virat Kohli,Virat Kohli (c)
Phil Salt ,Phil Salt 
du Plessis,Faf du Plessis (c)
Williamson,Williamson
Jagadeesan,Narayan Jagadeesan 
Anuj Rawat,Anuj Rawat 
Avesh Khan,Avesh Khan
Anukul Roy,Anukul Roy
Yash Dhull,Yash Dhull
Mustafizur,Mustafizur Rahman
Yash Dayal,Yash Dayal
Akash Deep,Akash Deep
MS Dhoni ,MS Dhoni (c)
Noor Ahmad,Noor Ahmad
Ben Stokes,Ben Stokes
Naman Dhir,Naman Dhir
Adam Zampa,Adam Zampa
Sam Curran,Sam Curran
Ricky Bhui,Ricky Bhui
Axar Patel,Axar Patel (c)
Suryakumar,Suryakumar Yadav
Azmatullah,Azmatullah
Siddharth,Siddharth
Kartikeya,Kumar Kartikeya
Moeen Ali,Moeen Ali
Hasaranga,Wanindu Hasaranga
Tendulkar,Arjun Tendulkar
Rajapaksa,Rajapaksa
Luke Wood,Luke Wood
Aman Khan,Aman Khan
Shai Hope,Shai Hope
Ramandeep,Ramandeep Singh
Kaverappa,Kaverappa
Deshpande,Tushar Deshpande
Tim David,Tim David
Jason Roy,Jason Roy
Ferguson,Lockie Ferguson
S Dhawan,S Dhawan
Sakariya,Chetan Sakariya
Kulkarni,Kulkarni
Ravindra,Ravindra Jadeja
R Dhawan,S Dhawan
Tripathi,Rahul Tripathi
Gulbadin,Gulbadin Naib
Markande,Mayank Markande
Phillips,Glenn Phillips 
Williams,Lizaad Williams
M Ashwin,M Ashwin
Joe Root,Joe Root
Abhishek,Abhishek Sharma
Nalkande,Nalkande
Meredith,Riley Meredith
Mitchell,Mitchell Santner
J Fraser,J Fraser
Kushagra,Kumar Kushagra
Padikkal,Devdutt Padikkal
Shepherd,Romario Shepherd
Arshdeep,Arshdeep
MW Short,MW Short
Bairstow,Bairstow
Ferreira,Donovan Ferreira
Kuldeep,Kuldeep Yadav
Sharath,Sharath
Unadkat,Jaydev Unadkat
Russell,Andre Russell
Shankar,Shankar
Maharaj,Keshav Maharaj
Rossouw,Rilee Rossouw
KM Asif,KM Asif
Vivrant,Vivrant Sharma
Stoinis,Stoinis
Santner,Mitchell Santner
Tewatia,Tewatia
Madhwal,Akash Madhwal
Hetmyer,Shimron Hetmyer
Klaasen,Heinrich Klaasen 
Johnson,Johnson
Maxwell,Glenn Maxwell
Gaikwad,Ruturaj Gaikwad (c)
Swapnil,Swapnil
Karthik,Dinesh Karthik 
Cummins,Pat Cummins (c)
Shanaka,Shankar
Harshal,Harshal Patel
Manohar,Manohar
Mandeep,Ramandeep Singh
Jaiswal,Yashasvi Jaiswal
Sandeep,Sandeep Sharma
Atharva,Atharva
Shokeen,Hrithik Shokeen
Agarwal,Agarwal
Markram,Aiden Markram (c)
Wadhera,Nehal Wadhera
Buttler,Jos Buttler
Parnell,Wayne Parnell
Patidar,Patidar
Gowtham,Gowtham
Chauhan,Chauhan
Coetzee,Gerald Coetzee
de Kock,de Kock
Holder,Jason Holder
Naveen,Naveen
Thakur,Shardul Thakur
Hosein,Akeal Hosein
Mankad,Mankad
M Nabi,M Nabi
Kohler,Tom Kohler-Cadmore
Little,Little
Stokes,Ben Stokes
Ashwin,Ravichandran Ashwin
Sundar,Washington Sundar
Pooran,Pooran
Sharma,Rohit Sharma (c)
Powell,Rovman Powell
Jadhav,Kedar Jadhav
Badoni,Badoni
Nortje,Anrich Nortje
Mishra,Mishra
Rayudu,Ambati Rayudu
Turner,Turner
Mulani,Shams Mulani
Vyshak,Vijaykumar Vyshak
Mayers,Mayers
Krunal,Krunal
Chahar,Deepak Chahar
Kamboj,Anshul Kamboj
Chawla,Piyush Chawla
Rahane,Ajinkya Rahane
Vishnu,Vishnu Vinod 
Gurbaz,Rahmanullah Gurbaz 
Rashid,Adil Rashid
Stubbs,Tristan Stubbs
Jordan,Chris Jordan
Narine,Sunil Narine
Suthar,Suthar
Willey,David Willey
Samson,Sanju Samson (c)
Conway,Devon Conway
Topley,Reece Topley
Hardik,Hardik Pandya (c)
Bumrah,Jasprit Bumrah
Jadeja,Ravindra Jadeja
Rabada,Rabada
Warner,David Warner (c)
Kotian,Tanush Kotian
Pandey,Manish Pandey
Jansen,Marco Jansen
Miller,Miller
Brevis,Dewald Brevis
Lomror,Mahipal Lomror
Kohli,Virat Kohli (c)
Ellis,Ellis
Ishan,Ishan Kishan 
Patel,Axar Patel (c)
Mohit,Mohit
Shami,Shami
David,David Warner (c)
Siraj,Mohammed Siraj
Dagar,Mayank Dagar
Yadav,Suryakumar Yadav
Zampa,Adam Zampa
Rahul,Rahul Tripathi
Parag,Riyan Parag
Dhull,Yash Dhull
Hooda,Hooda
Wiese,David Wiese
Starc,Mitchell Starc
Dubey,Shubham Dubey
Jurel,Dhruv Jurel
Marsh,Mitchell Marsh
Henry,Henry
Rawat,Anuj Rawat 
Dhoni,MS Dhoni (c)
Arora,Vaibhav Arora
Jacks,Jacks
Brook,Harry Brook
Varun,Varun Chakravarthy
Boult,Trent Boult
Green,Cameron Green
Shaw,Prithvi Shaw
Asif,KM Asif
Karn,Karn Sharma
Dube,Shubham Dubey
Salt,Phil Salt 
Hope,Shai Hope
Bhui,Ricky Bhui
Pant,Rishabh Pant (c)
Root,Joe Root
Head,Travis Head
Gill,Gill
Saha,Saha
Wade,Wade
Garg,RS Hangargekar
Raza,Raza
Wood,Josh Hazlewood
Rana,Matheesha Pathirana
Roy,Anukul Roy
Haq,Haq
