player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
KL Rahul (c),batsman,132,123,,4683,3479,,,45.46,134.60
Kyle Mayers,batsman,13,13,,379,263,,,29.15,144.10
Krunal Pandya,batsman,127,111,,1647,1240,,,22.56,132.82
Nicholas Pooran †,batsman,76,73,,1769,1090,,,32.16,162.29
Ayush Badoni,batsman,42,35,,634,473,,,24.38,134.03
Marcus Stoinis,batsman,96,88,,1866,1314,,,28.27,142.00
Deepak Hooda,batsman,118,96,,1465,1131,,,18.31,129.53
Prerak Mankad,batsman,6,6,,97,73,,,32.33,132.87
Ravi Bishnoi,batsman,66,15,,32,50,,,4.00,64.00
"Avesh Khan,",batsman,63,10,,41,25,,,20.50,164.00
Naveen-ul-Haq,batsman,18,6,,18,25,,,18.00,72.00
