player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Ruturaj Gaikwad (c),batsman,66,65,,2380,1739,,,41.75,136.86
Rachin Ravindra,batsman,10,10,,222,138,,,22.20,160.86
Daryl Mitchell,batsman,15,15,,351,267,,,27.00,131.46
Ajinkya Rahane,batsman,185,171,,4642,3761,,,30.14,123.42
Shivam Dube,batsman,65,61,,1502,1024,,,30.04,146.67
Ravindra Jadeja,batsman,240,184,,2959,2280,,,27.39,129.78
Mitchell Santner,batsman,18,11,,70,71,,,11.66,98.59
MS Dhoni †,batsman,264,229,,5243,3812,,,39.12,137.53
Shardul Thakur,batsman,95,37,,307,221,,,12.28,138.91
"Tushar Deshpande,",batsman,36,4,,21,14,,,21.00,150.00
Simarjeet Singh,batsman,10,3,,7,8,,,7.00,87.50
