player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Rohit Sharma,batsman,257,252,,6628,5054,,,29.72,131.14
Ishan Kishan †,batsman,105,99,,2644,1946,,,28.43,135.86
Suryakumar Yadav,batsman,150,135,,3594,2473,,,32.08,145.32
Tilak Varma,batsman,38,38,,1156,790,,,39.86,146.32
Hardik Pandya (c),batsman,137,128,,2525,1734,,,28.69,145.61
Tim David,batsman,38,35,,659,387,,,28.65,170.28
Romario Shepherd,batsman,10,9,,115,63,,,23.00,182.53
Mohammad Nabi,batsman,24,19,,215,150,,,13.43,143.33
"Shreyas Gopal,",batsman,52,22,,180,169,,,12.85,106.50
"Jasprit Bumrah,",batsman,133,30,,68,78,,,9.71,87.17
Gerald Coetzee,batsman,10,5,,14,22,,,3.50,63.63
