player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
David Warner,batsman,184,184,,6565,4697,,,40.52,139.77
Prithvi Shaw,batsman,79,79,,1892,1283,,,23.94,147.46
Mitchell Marsh,batsman,42,36,,665,521,,,19.55,127.63
Abishek Porel,batsman,18,16,,360,236,,,25.71,152.54
Rishabh Pant (c)†,batsman,111,110,,3284,2205,,,35.31,148.93
Tristan Stubbs,batsman,18,17,,405,233,,,36.81,173.81
Axar Patel,batsman,150,113,,1653,1263,,,21.46,130.87
Sumit Kumar,batsman,4,3,,18,24,,,9.00,75.00
Rasikh Salam,batsman,11,6,,40,40,,,8.00,100.00
Anrich Nortje,batsman,46,15,,49,49,,,8.16,100.00
Ishant Sharma,batsman,110,28,,57,69,,,9.50,82.60
