player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
David Warner,batsman,184,184,,6565,4697,,,40.52,139.77
Mitchell Marsh,batsman,42,36,,665,521,,,19.55,127.63
Shai Hope,batsman,9,9,,183,122,,,22.87,150.00
Rishabh Pant (c)†,batsman,111,110,,3284,2205,,,35.31,148.93
Ricky Bhui,batsman,4,4,,10,26,,,2.50,38.46
Tristan Stubbs,batsman,18,17,,405,233,,,36.81,173.81
Axar Patel,batsman,150,113,,1653,1263,,,21.46,130.87
Sumit Kumar,batsman,4,3,,18,24,,,9.00,75.00
Abishek Porel,batsman,18,16,,360,236,,,25.71,152.54
Kuldeep Yadav,batsman,84,33,,183,216,,,15.25,84.72
"Khaleel Ahmed,",batsman,57,5,,1,7,,,0.20,14.28
Ishant Sharma,batsman,110,28,,57,69,,,9.50,82.60
