player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Prabhsimran Singh,batsman,34,34,,756,517,,,22.23,146.22
Shikhar Dhawan (c),batsman,222,221,,6769,5324,,,35.25,127.14
Atharva Taide,batsman,9,9,,247,168,,,27.44,147.02
Liam Livingstone,batsman,39,39,,939,578,,,28.45,162.45
Jitesh Sharma †,batsman,40,36,,730,483,,,22.81,151.13
M Shahrukh Khan,batsman,40,38,,553,391,,,19.75,141.43
Sam Curran,batsman,59,48,,883,647,,,25.22,136.47
Harpreet Brar,batsman,41,24,,233,190,,,21.18,122.63
Rahul Chahar,batsman,78,24,,129,124,,,8.06,104.03
"Kagiso Rabada,",batsman,80,31,,206,193,,,12.11,106.73
Arshdeep Singh,batsman,65,12,,29,40,,,5.80,72.50
