player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Devon Conway,batsman,23,22,,924,654,,,48.63,141.28
Ruturaj Gaikwad,batsman,66,65,,2380,1739,,,41.75,136.86
Moeen Ali,batsman,67,57,,1162,821,,,22.78,141.53
Ben Stokes,batsman,45,44,,935,698,,,24.60,133.95
Ambati Rayudu,batsman,204,187,,4348,3409,,,28.23,127.54
Shivam Dube,batsman,65,61,,1502,1024,,,30.04,146.67
Ravindra Jadeja,batsman,240,184,,2959,2280,,,27.39,129.78
MS Dhoni (c)†,batsman,264,229,,5243,3812,,,39.12,137.53
Mitchell Santner,batsman,18,11,,70,71,,,11.66,98.59
"Deepak Chahar,",batsman,81,13,,80,59,,,11.42,135.59
Rajvardhan Hangargekar,batsman,2,-,,-,-,,,-,-
