player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Atharva Taide,batsman,9,9,,247,168,,,27.44,147.02
Prabhsimran Singh,batsman,34,34,,756,517,,,22.23,146.22
Matthew Short,batsman,6,6,,117,92,,,19.50,127.17
Harpreet Singh,batsman,9,8,,123,119,,,17.57,103.36
Sikandar Raza,batsman,9,9,,182,136,,,26.00,133.82
Sam Curran (c),batsman,59,48,,883,647,,,25.22,136.47
Jitesh Sharma †,batsman,40,36,,730,483,,,22.81,151.13
M Shahrukh Khan,batsman,40,38,,553,391,,,19.75,141.43
Harpreet Brar,batsman,41,24,,233,190,,,21.18,122.63
Kagiso Rabada,batsman,80,31,,206,193,,,12.11,106.73
Arshdeep Singh,batsman,65,12,,29,40,,,5.80,72.50
