player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
KL Rahul (c),batsman,132,123,,4683,3479,,,45.46,134.60
Kyle Mayers,batsman,13,13,,379,263,,,29.15,144.10
Deepak Hooda,batsman,118,96,,1465,1131,,,18.31,129.53
Krunal Pandya,batsman,127,111,,1647,1240,,,22.56,132.82
Nicholas Pooran †,batsman,76,73,,1769,1090,,,32.16,162.29
Marcus Stoinis,batsman,96,88,,1866,1314,,,28.27,142.00
Ayush Badoni,batsman,42,35,,634,473,,,24.38,134.03
Krishnappa Gowtham,batsman,36,27,,247,148,,,13.72,166.89
Yudhvir Singh,batsman,5,4,,22,16,,,5.50,137.50
Ravi Bishnoi,batsman,66,15,,32,50,,,4.00,64.00
"Avesh Khan,",batsman,63,10,,41,25,,,20.50,164.00
Mark Wood,batsman,5,3,,12,8,,,6.00,150.00
