player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Jason Roy,batsman,21,21,,614,443,,,32.31,138.60
Narayan Jagadeesan †,batsman,13,10,,162,147,,,18.00,110.20
Venkatesh Iyer,batsman,51,49,,1326,967,,,31.57,137.12
Nitish Rana (c),batsman,107,101,,2636,1952,,,28.65,135.04
Andre Russell,batsman,127,105,,2484,1420,,,29.22,174.92
Rinku Singh,batsman,46,40,,893,623,,,30.79,143.33
David Wiese,batsman,18,11,,148,101,,,29.60,146.53
"Sunil Narine,",batsman,177,110,,1534,925,,,17.04,165.83
"Vaibhav Arora,",batsman,20,8,,9,16,,,4.50,56.25
"Umesh Yadav,",batsman,148,52,,208,201,,,9.90,103.48
Varun Chakravarthy,batsman,71,12,,25,46,,,6.25,54.34
