player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Wriddhiman Saha †,batsman,170,145,,2934,2300,,,24.24,127.56
Shubman Gill (c),batsman,103,100,,3216,2370,,,37.83,135.69
Sai Sudharsan,batsman,25,25,,1034,743,,,47.00,139.16
David Miller,batsman,130,124,,2924,2100,,,36.09,139.23
Vijay Shankar,batsman,72,60,,1115,859,,,25.34,129.80
"Azmatullah Omarzai,",batsman,7,4,,42,33,,,10.50,127.27
"Rahul Tewatia,",batsman,93,65,,1013,752,,,25.32,134.70
"Rashid Khan,",batsman,121,60,,545,337,,,14.72,161.72
"Umesh Yadav,",batsman,148,52,,208,201,,,9.90,103.48
"Noor Ahmad,",batsman,23,7,,13,18,,,3.25,72.22
Darshan Nalkande,batsman,6,2,,12,12,,,6.00,100.00
