player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Phil Salt †,batsman,21,21,,653,372,,,34.36,175.53
Sunil Narine,batsman,177,110,,1534,925,,,17.04,165.83
Venkatesh Iyer,batsman,51,49,,1326,967,,,31.57,137.12
Shreyas Iyer (c),batsman,116,115,,3127,2453,,,32.23,127.47
Rinku Singh,batsman,46,40,,893,623,,,30.79,143.33
"Andre Russell,",batsman,127,105,,2484,1420,,,29.22,174.92
"Ramandeep Singh,",batsman,20,13,,170,102,,,28.33,166.66
"Mitchell Starc,",batsman,41,17,,105,109,,,11.66,96.33
"Anukul Roy,",batsman,11,6,,26,24,,,8.66,108.33
"Harshit Rana,",batsman,21,3,,2,3,,,1.00,66.66
Angkrish Raghuvanshi,batsman,10,7,,163,105,,,23.28,155.23
