player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Sai Sudharsan,batsman,25,25,,1034,743,,,47.00,139.16
Shubman Gill (c),batsman,103,100,,3216,2370,,,37.83,135.69
David Miller,batsman,130,124,,2924,2100,,,36.09,139.23
M Shahrukh Khan,batsman,40,38,,553,391,,,19.75,141.43
"Matthew Wade †,",batsman,15,14,,183,177,,,13.07,103.38
"Rahul Tewatia,",batsman,93,65,,1013,752,,,25.32,134.70
"Rashid Khan,",batsman,121,60,,545,337,,,14.72,161.72
"Noor Ahmad,",batsman,23,7,,13,18,,,3.25,72.22
"Umesh Yadav,",batsman,148,52,,208,201,,,9.90,103.48
"Mohit Sharma,",batsman,112,31,,124,133,,,7.29,93.23
Kartik Tyagi,batsman,20,7,,13,16,,,3.25,81.25
