player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Prithvi Shaw,batsman,79,79,,1892,1283,,,23.94,147.46
David Warner (c),batsman,184,184,,6565,4697,,,40.52,139.77
Mitchell Marsh,batsman,42,36,,665,521,,,19.55,127.63
Sarfaraz Khan †,batsman,50,37,,585,448,,,22.50,130.58
Rilee Rossouw,batsman,22,22,,473,308,,,23.65,153.57
Rovman Powell,batsman,27,22,,360,244,,,18.94,147.54
Aman Khan,batsman,12,10,,115,104,,,12.77,110.57
Axar Patel,batsman,150,113,,1653,1263,,,21.46,130.87
Kuldeep Yadav,batsman,84,33,,183,216,,,15.25,84.72
Chetan Sakariya,batsman,19,8,,20,31,,,3.33,64.51
Mukesh Kumar,batsman,20,5,,10,18,,,10.00,55.55
