player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Rachin Ravindra,batsman,10,10,,222,138,,,22.20,160.86
Ruturaj Gaikwad (c),batsman,66,65,,2380,1739,,,41.75,136.86
Daryl Mitchell,batsman,15,15,,351,267,,,27.00,131.46
Shivam Dube,batsman,65,61,,1502,1024,,,30.04,146.67
MS Dhoni †,batsman,264,229,,5243,3812,,,39.12,137.53
"Ajinkya Rahane,",batsman,185,171,,4642,3761,,,30.14,123.42
"Sameer Rizvi,",batsman,8,5,,51,43,,,12.75,118.60
"Ravindra Jadeja,",batsman,240,184,,2959,2280,,,27.39,129.78
"Shardul Thakur,",batsman,95,37,,307,221,,,12.28,138.91
"Tushar Deshpande,",batsman,36,4,,21,14,,,21.00,150.00
Maheesh Theekshana,batsman,27,2,,7,7,,,7.00,100.00
