player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Rohit Sharma,batsman,257,252,,6628,5054,,,29.72,131.14
Dewald Brevis,batsman,10,10,,230,172,,,23.00,133.72
Suryakumar Yadav,batsman,150,135,,3594,2473,,,32.08,145.32
Ishan Kishan †,batsman,105,99,,2644,1946,,,28.43,135.86
Hardik Pandya (c),batsman,137,128,,2525,1734,,,28.69,145.61
Nehal Wadhera,batsman,20,16,,350,250,,,23.33,140.00
Naman Dhir,batsman,7,7,,140,79,,,23.33,177.21
Romario Shepherd,batsman,10,9,,115,63,,,23.00,182.53
"Anshul Kamboj,",batsman,3,1,,2,2,,,-,100.00
"Piyush Chawla,",batsman,192,92,,624,563,,,11.14,110.83
Arjun Tendulkar,batsman,5,1,,13,9,,,13.00,144.44
