player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Yashasvi Jaiswal,batsman,53,52,,1607,1067,,,32.14,150.60
Jos Buttler,batsman,107,106,,3582,2428,,,38.10,147.52
Sanju Samson (c)†,batsman,168,163,,4419,3180,,,30.68,138.96
Shimron Hetmyer,batsman,72,66,,1243,812,,,31.07,153.07
Dhruv Jurel,batsman,28,22,,347,229,,,23.13,151.52
Devdutt Padikkal,batsman,64,64,,1559,1266,,,25.14,123.14
Ravichandran Ashwin,batsman,212,94,,800,675,,,13.33,118.51
"Jason Holder,",batsman,46,27,,259,211,,,12.33,122.74
"Sandeep Sharma,",batsman,127,27,,54,70,,,9.00,77.14
"Yuzvendra Chahal,",batsman,160,20,,37,86,,,5.28,43.02
Adam Zampa,batsman,20,5,,15,24,,,3.00,62.50
