player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Prithvi Shaw,batsman,79,79,,1892,1283,,,23.94,147.46
David Warner,batsman,184,184,,6565,4697,,,40.52,139.77
Jake Fraser-McGurk,batsman,9,9,,330,141,,,36.66,234.04
Rishabh Pant (c)†,batsman,111,110,,3284,2205,,,35.31,148.93
Tristan Stubbs,batsman,18,17,,405,233,,,36.81,173.81
Shai Hope,batsman,9,9,,183,122,,,22.87,150.00
"Axar Patel,",batsman,150,113,,1653,1263,,,21.46,130.87
"Kuldeep Yadav,",batsman,84,33,,183,216,,,15.25,84.72
"Mukesh Kumar,",batsman,20,5,,10,18,,,10.00,55.55
"Ishant Sharma,",batsman,110,28,,57,69,,,9.50,82.60
Abishek Porel,batsman,18,16,,360,236,,,25.71,152.54
