player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Kyle Mayers,batsman,13,13,,379,263,,,29.15,144.10
Quinton de Kock †,batsman,107,107,,3157,2352,,,31.25,134.22
Deepak Hooda,batsman,118,96,,1465,1131,,,18.31,129.53
Marcus Stoinis,batsman,96,88,,1866,1314,,,28.27,142.00
Nicholas Pooran,batsman,76,73,,1769,1090,,,32.16,162.29
Ayush Badoni,batsman,42,35,,634,473,,,24.38,134.03
Swapnil Singh,batsman,14,9,,51,45,,,10.20,113.33
Krunal Pandya (c),batsman,127,111,,1647,1240,,,22.56,132.82
Ravi Bishnoi,batsman,66,15,,32,50,,,4.00,64.00
"Mohsin Khan,",batsman,24,5,,25,24,,,8.33,104.16
Avesh Khan,batsman,63,10,,41,25,,,20.50,164.00
