player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Prithvi Shaw,batsman,79,79,,1892,1283,,,23.94,147.46
Jake Fraser-McGurk,batsman,9,9,,330,141,,,36.66,234.04
Abishek Porel,batsman,18,16,,360,236,,,25.71,152.54
Shai Hope,batsman,9,9,,183,122,,,22.87,150.00
Rishabh Pant (c)†,batsman,111,110,,3284,2205,,,35.31,148.93
Axar Patel,batsman,150,113,,1653,1263,,,21.46,130.87
Tristan Stubbs,batsman,18,17,,405,233,,,36.81,173.81
Kumar Kushagra,batsman,4,3,,3,7,,,1.00,42.85
Kuldeep Yadav,batsman,84,33,,183,216,,,15.25,84.72
Rasikh Salam,batsman,11,6,,40,40,,,8.00,100.00
Lizaad Williams,batsman,2,1,,1,2,,,-,50.00
Khaleel Ahmed,batsman,57,5,,1,7,,,0.20,14.28
