player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Jake Fraser-McGurk,batsman,9,9,,330,141,,,36.66,234.04
Abishek Porel,batsman,18,16,,360,236,,,25.71,152.54
Shai Hope,batsman,9,9,,183,122,,,22.87,150.00
Rishabh Pant (c)†,batsman,111,110,,3284,2205,,,35.31,148.93
Tristan Stubbs,batsman,18,17,,405,233,,,36.81,173.81
Axar Patel,batsman,150,113,,1653,1263,,,21.46,130.87
"Kumar Kushagra,",batsman,4,3,,3,7,,,1.00,42.85
"Kuldeep Yadav,",batsman,84,33,,183,216,,,15.25,84.72
"Lizaad Williams,",batsman,2,1,,1,2,,,-,50.00
"Khaleel Ahmed,",batsman,57,5,,1,7,,,0.20,14.28
Mukesh Kumar,batsman,20,5,,10,18,,,10.00,55.55
