player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
David Warner (c),batsman,184,184,,6565,4697,,,40.52,139.77
Phil Salt †,batsman,21,21,,653,372,,,34.36,175.53
Mitchell Marsh,batsman,42,36,,665,521,,,19.55,127.63
Manish Pandey,batsman,171,159,,3850,3179,,,29.16,121.10
Priyam Garg,batsman,23,19,,273,241,,,15.16,113.27
Sarfaraz Khan,batsman,50,37,,585,448,,,22.50,130.58
Axar Patel,batsman,150,113,,1653,1263,,,21.46,130.87
Ripal Patel,batsman,9,7,,80,73,,,16.00,109.58
"Kuldeep Yadav,",batsman,84,33,,183,216,,,15.25,84.72
"Anrich Nortje,",batsman,46,15,,49,49,,,8.16,100.00
Mukesh Kumar,batsman,20,5,,10,18,,,10.00,55.55
