player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Prabhsimran Singh,batsman,34,34,,756,517,,,22.23,146.22
Shikhar Dhawan (c),batsman,222,221,,6769,5324,,,35.25,127.14
Bhanuka Rajapaksa,batsman,13,13,,277,191,,,23.08,145.02
Liam Livingstone,batsman,39,39,,939,578,,,28.45,162.45
Jitesh Sharma †,batsman,40,36,,730,483,,,22.81,151.13
Sam Curran,batsman,59,48,,883,647,,,25.22,136.47
Rishi Dhawan,batsman,39,24,,210,187,,,19.09,112.29
M Shahrukh Khan,batsman,40,38,,553,391,,,19.75,141.43
Harpreet Brar,batsman,41,24,,233,190,,,21.18,122.63
"Rahul Chahar,",batsman,78,24,,129,124,,,8.06,104.03
Arshdeep Singh,batsman,65,12,,29,40,,,5.80,72.50
