player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Wriddhiman Saha †,batsman,170,145,,2934,2300,,,24.24,127.56
Shubman Gill (c),batsman,103,100,,3216,2370,,,37.83,135.69
Sai Sudharsan,batsman,25,25,,1034,743,,,47.00,139.16
David Miller,batsman,130,124,,2924,2100,,,36.09,139.23
Abhinav Manohar,batsman,19,15,,231,174,,,16.50,132.75
Rahul Tewatia,batsman,93,65,,1013,752,,,25.32,134.70
M Shahrukh Khan,batsman,40,38,,553,391,,,19.75,141.43
Rashid Khan,batsman,121,60,,545,337,,,14.72,161.72
Mohit Sharma,batsman,112,31,,124,133,,,7.29,93.23
Noor Ahmad,batsman,23,7,,13,18,,,3.25,72.22
Spencer Johnson,batsman,5,3,,6,7,,,-,85.71
Sandeep Warrier,batsman,10,-,,-,-,,,-,-
