player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Rahmanullah Gurbaz †,batsman,14,13,,289,216,,,22.23,133.79
Narayan Jagadeesan,batsman,13,10,,162,147,,,18.00,110.20
Venkatesh Iyer,batsman,51,49,,1326,967,,,31.57,137.12
Nitish Rana (c),batsman,107,101,,2636,1952,,,28.65,135.04
Rinku Singh,batsman,46,40,,893,623,,,30.79,143.33
Andre Russell,batsman,127,105,,2484,1420,,,29.22,174.92
Sunil Narine,batsman,177,110,,1534,925,,,17.04,165.83
Shardul Thakur,batsman,95,37,,307,221,,,12.28,138.91
Umesh Yadav,batsman,148,52,,208,201,,,9.90,103.48
"Lockie Ferguson,",batsman,45,10,,68,46,,,22.66,147.82
Varun Chakravarthy,batsman,71,12,,25,46,,,6.25,54.34
