player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
David Warner,batsman,184,184,,6565,4697,,,40.52,139.77
Mitchell Marsh,batsman,42,36,,665,521,,,19.55,127.63
Ricky Bhui,batsman,4,4,,10,26,,,2.50,38.46
Rishabh Pant (c)†,batsman,111,110,,3284,2205,,,35.31,148.93
Tristan Stubbs,batsman,18,17,,405,233,,,36.81,173.81
Abishek Porel,batsman,18,16,,360,236,,,25.71,152.54
Axar Patel,batsman,150,113,,1653,1263,,,21.46,130.87
"Sumit Kumar,",batsman,4,3,,18,24,,,9.00,75.00
"Kuldeep Yadav,",batsman,84,33,,183,216,,,15.25,84.72
"Anrich Nortje,",batsman,46,15,,49,49,,,8.16,100.00
Mukesh Kumar,batsman,20,5,,10,18,,,10.00,55.55
