player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Ishan Kishan †,batsman,105,99,,2644,1946,,,28.43,135.86
Rohit Sharma,batsman,257,252,,6628,5054,,,29.72,131.14
Naman Dhir,batsman,7,7,,140,79,,,23.33,177.21
Dewald Brevis,batsman,10,10,,230,172,,,23.00,133.72
Tilak Varma,batsman,38,38,,1156,790,,,39.86,146.32
Tim David,batsman,38,35,,659,387,,,28.65,170.28
Hardik Pandya (c),batsman,137,128,,2525,1734,,,28.69,145.61
Gerald Coetzee,batsman,10,5,,14,22,,,3.50,63.63
Shams Mulani,batsman,2,1,,1,1,,,-,100.00
Piyush Chawla,batsman,192,92,,624,563,,,11.14,110.83
Jasprit Bumrah,batsman,133,30,,68,78,,,9.71,87.17
